Timestamp,Your preferred/playa name,Title of Event,Event Description,Type of Event,Is your event family friendly?,At what time does the event start,For how long does the event run,What day(s) is the event occurring,Location,All-day events
01/07/2019 13:25:32,Delicious,Heart Circle,"Pause for a second and put aside the madness of Borderland and the banal world for a soothing group moment. People are invited to drop into themselves and share heartfelt emotions to a small group in total confidentiality. There is no response from the audience, just deep listening and the ability for you to speak your mind so you're heard, acknowledged, and thereby affirmed. (host : Delicious)",Care/Support,Yes 🧸,14:00:00,2:00:00,"Wednesday 24., Saturday 27.",Radical faerie Wonderland,
01/07/2019 13:24:14,Delicious,PROGRESSIVE ACTIVISM,"Come and share different approaches to organising, campaigning and advocacy. And learn about some kick-ass initiatives that are giving voice to marginalised communities and holding power to account around the world",Workshop/Class,Yes 🧸,15:00:00,1:00:00,Wednesday 24.,Radical faerie Wonderland,
01/07/2019 13:33:08,Delicious,MORNING DANCE!,"A life-affirming celebration of self love through the dance techniques of ass shaking, hip jiggling, stomping and flaling arms. Yep, let's ecstatic like the best of 'em to say GOOD MORNING BORDERLAND! Hosted by the Faerie Tribe - come say hi!",Workshop/Class,Yes 🧸,10:00:00,1:00:00,Thursday 25.,Radical faerie Wonderland,
01/07/2019 13:31:22,Delicious,BUTTWORKS,"Every arsehole has a story. Come and explore your crack and your relationship with it in a supportive space. Do you know what your butt looks like? Are you able to experience joy 'down there'? Do you feel shame and/or guilt around it? Could there even be old trauma or past life experiences stored up there? Nudity optional. No penetration involved. Host : Secret Door, psychotherapist, ass bandit  
",Workshop/Class,Yes 🧸,16:00:00,2:00:00,Wednesday 24.,Radical faerie Wonderland,
01/07/2019 13:34:55,Delicious,REIKI ,"ah yes the gentle art of touch. Or no touch in the case of Reiki. OK remind me to rewrite that opening line. Balance out your energies and share an energetic massage through a guided process with our resident Reiki master* Involuble. *Master may be a practitioner only, 'cept master sounds better.",Workshop/Class,Yes 🧸,14:00:00,1:00:00,Thursday 25.,Radical faerie Wonderland,
01/07/2019 13:37:23,Delicious,Heart Circle,"Pause for a second and put aside the madness of Borderland and the banal world for a soothing group moment. You are invited to drop into yourself and share heartfelt emotions to a small group in total confidentiality. There is no response from the audience, just deep listening and the ability for you to speak your mind so you're heard, acknowledged, and thereby affirmed. Host : Involuble.",Care/Support,Yes 🧸,15:00:00,2:00:00,Thursday 25.,Radical faerie Wonderland,
01/07/2019 13:40:18,Delicious,Massage Station,Feeling tired? Is your body aching from dancing nonstop? Stop by for a different kind of massage to relax and energize again. Offered by Delicious,Care/Support,Yes 🧸,17:00:00,1:00:00,Thursday 25.,Radical faerie Wonderland,
01/07/2019 13:43:40,Delicious,FLOW STATE,"Don't we all want to live in a permanent state of flow? What gets in the way? Body work in a means of tapping into the emotions we store and trap in our physical bodies. Over time these can lead to illness, both mental and physical. By becoming aware of them, we're able to let tensions go and come closer to a state of flow. Hosted by our resident multi-modal therapist Felicious.",Workshop/Class,Yes 🧸,16:00:00,1:00:00,Friday 26.,Radical faerie Wonderland,
01/07/2019 13:42:07,Delicious,LIQUID MASSAGE,"Wanna get all sensual with a couple of faeries without the full commitment of joining our bizarre tribe? In this 'Faerie lite' session, in some strange way you'll be able to experience a taste of the raw sensuality and energy exchange of the Faerie clan. Think you're ready for more than 2 hands at one time? How many can you take? Be in it to win it :D",Workshop/Class,Nooooope 💦,14:00:00,1:00:00,Friday 26.,Radical faerie Wonderland,
01/07/2019 13:45:41,Delicious,The delightful art of spanking and aftercare,"Not just the realm of shady kink clubs and movies, the Radical Faeries bring spanking to the gentle fields of Hedeland! Bring or find a partner and together we'll explore pleasure/pain boundaries through the art of spanking. Hosted by Delicious.",Workshop/Class,Nooooope 💦,17:00:00,1:00:00,Friday 26.,Radical faerie Wonderland,
01/07/2019 13:48:10,Delicious,Closing Ceremony,A heartfelt closing ceremony for radical faeries and their friends,Ritual/Ceremony,Nooooope 💦,20:00:00,1:30:00,Saturday 27.,Radical faerie Wonderland,
